(u737, p6):(u2, p6, 0)
(u640, p135):(u112, p135, 770)
(u1146, p135):(u112, p135, 771)
(u640, p112):(u112, p112, 772)
(u169, p318):(u112, p112, 773)
(u707, p318):(u112, p112, 774)
(u428, p318):(u112, p112, 775)
(u131, p318):(u112, p112, 776)
(u1146, p112):(u112, p112, 777)
(u711, p318):(u112, p112, 778)
(u759, p318):(u112, p112, 779)
(u629, p318):(u112, p112, 780)
(u255, p318):(u112, p112, 781)
(u539, p318):(u112, p112, 782)
(u707, p112):(u112, p112, 783)
(u169, p112):(u112, p112, 784)
(u711, p112):(u112, p112, 785)
(u428, p112):(u112, p112, 786)
(u131, p112):(u112, p112, 787)
(u759, p112):(u112, p112, 788)
(u112, p318):(u112, p112, 789)
(u640, p318):(u112, p112, 790)
(u539, p112):(u112, p112, 791)
(u1146, p318):(u112, p112, 792)
(u629, p112):(u112, p112, 793)
(u255, p112):(u112, p112, 794)
(u113, p178):(u113, p169, 795)
(u113, p164):(u113, p163, 796)
(u113, p319):(u113, p320, 797)
(u639, p322):(u114, p321, 798)
(u1001, p321):(u114, p321, 799)
(u811, p321):(u114, p321, 800)
(u639, p321):(u114, p321, 801)
(u1018, p322):(u114, p321, 802)
(u1001, p322):(u114, p321, 803)
(u811, p322):(u114, p321, 804)
(u114, p322):(u114, p321, 805)
(u1018, p321):(u114, p321, 806)
(u114, p321):(-1, -1, 807)
(u116, p52):(u116, p40, 808)
(u116, p43):(u116, p40, 809)
(u116, p54):(u116, p323, 810)
(u116, p42):(u116, p323, 811)
(u116, p47):(u116, p323, 812)
(u116, p49):(u116, p216, 813)
(u117, p326):(u117, p328, 814)
(u670, p325):(u117, p328, 815)
(u670, p326):(u117, p328, 816)
(u670, p328):(u117, p328, 817)
(u117, p325):(u117, p328, 818)
(u670, p327):(u117, p327, 819)
(u920, p329):(u119, p329, 820)
(u955, p329):(u119, p329, 821)
(u119, p200):(u119, p329, 822)
(u920, p200):(u119, p329, 823)
(u955, p200):(u119, p329, 824)
(u119, p329):(-1, -1, 825)
(u202, p81):(u120, p81, 826)
(u369, p81):(u120, p81, 827)
(u974, p25):(u120, p25, 828)
(u369, p25):(u120, p25, 829)
(u321, p25):(u120, p25, 830)
(u202, p25):(u120, p25, 831)
(u585, p74):(u121, p74, 832)
(u1075, p74):(u121, p74, 833)
(u1004, p74):(u121, p74, 834)
(u517, p74):(u121, p74, 835)
(u365, p74):(u121, p74, 836)
(u1075, p330):(u121, p330, 837)
(u121, p74):(u121, p330, 838)
(u517, p330):(u121, p330, 839)
(u1004, p330):(u121, p330, 840)
(u585, p330):(u121, p330, 841)
(u365, p330):(u121, p330, 842)
(u121, p330):(-1, -1, 843)
(u122, p289):(u122, p334, 844)
(u141, p342):(u127, p342, 845)
(u141, p343):(u127, p343, 846)
(u127, p342):(u127, p343, 847)
(u127, p343):(-1, -1, 848)
(u24, p97):(u128, p97, 849)
(u768, p183):(u130, p183, 850)
(u768, p202):(u130, p202, 851)
(u768, p257):(u130, p257, 852)
(u133, p0):(u133, p345, 853)
(u135, p351):(u135, p348, 854)
(u135, p43):(u135, p130, 855)
(u135, p42):(u135, p323, 856)
(u135, p47):(u135, p323, 857)
(u135, p54):(u135, p323, 858)
(u135, p214):(u135, p356, 859)
(u135, p104):(u135, p217, 860)
(u135, p166):(u135, p217, 861)
(u137, p359):(u137, p360, 862)
(u661, p360):(u137, p360, 863)
(u661, p359):(u137, p360, 864)
(u137, p360):(-1, -1, 865)
(u1059, p80):(u138, p80, 866)
(u867, p80):(u138, p80, 867)
(u1059, p203):(u138, p203, 868)
(u867, p203):(u138, p203, 869)
(u822, p145):(u140, p145, 870)
(u822, p202):(u140, p202, 871)
(u143, p221):(u143, p365, 872)
(u143, p13):(u143, p364, 873)
(u143, p365):(u143, p363, 874)
(u497, p367):(u144, p367, 875)
(u1046, p367):(u144, p367, 876)
(u376, p200):(u144, p367, 877)
(u497, p200):(u144, p367, 878)
(u376, p367):(u144, p367, 879)
(u144, p200):(u144, p367, 880)
(u1046, p200):(u144, p367, 881)
(u144, p367):(-1, -1, 882)
(u261, p369):(u145, p369, 883)
(u278, p369):(u145, p369, 884)
(u278, p368):(u145, p368, 885)
(u261, p368):(u145, p368, 886)
(u234, p373):(u151, p373, 887)
(u252, p205):(u151, p373, 888)
(u1157, p373):(u151, p373, 889)
(u444, p205):(u151, p373, 890)
(u443, p205):(u151, p373, 891)
(u151, p205):(u151, p373, 892)
(u845, p205):(u151, p373, 893)
(u759, p373):(u151, p373, 894)
(u252, p373):(u151, p373, 895)
(u216, p205):(u151, p373, 896)
(u444, p373):(u151, p373, 897)
(u443, p373):(u151, p373, 898)
(u159, p205):(u151, p373, 899)
(u1181, p205):(u151, p373, 900)
(u845, p373):(u151, p373, 901)
(u234, p205):(u151, p373, 902)
(u1044, p373):(u151, p373, 903)
(u216, p373):(u151, p373, 904)
(u159, p373):(u151, p373, 905)
(u1181, p373):(u151, p373, 906)
(u759, p205):(u151, p373, 907)
(u759, p206):(u151, p206, 908)
(u216, p206):(u151, p206, 909)
(u845, p206):(u151, p206, 910)
(u1181, p206):(u151, p206, 911)
(u159, p206):(u151, p206, 912)
(u252, p206):(u151, p206, 913)
(u443, p206):(u151, p206, 914)
(u444, p206):(u151, p206, 915)
(u234, p206):(u151, p206, 916)
(u675, p374):(u152, p374, 917)
(u1186, p375):(u152, p374, 918)
(u293, p374):(u152, p374, 919)
(u152, p375):(u152, p374, 920)
(u1186, p374):(u152, p374, 921)
(u964, p375):(u152, p374, 922)
(u675, p375):(u152, p374, 923)
(u293, p375):(u152, p374, 924)
(u964, p374):(u152, p374, 925)
(u152, p374):(-1, -1, 926)
(u153, p298):(u153, p293, 927)
(u153, p13):(u153, p293, 928)
(u153, p297):(u153, p293, 929)
(u153, p166):(u153, p181, 930)
(u153, p104):(u153, p175, 931)
(u153, p217):(u153, p291, 932)
(u153, p218):(u153, p291, 933)
(u153, p293):(u153, p291, 934)
(u153, p111):(u153, p291, 935)
(u153, p181):(u153, p291, 936)
(u153, p23):(u153, p291, 937)
(u153, p296):(u153, p291, 938)
(u153, p165):(u153, p291, 939)
(u153, p41):(u153, p291, 940)
(u153, p175):(u153, p291, 941)
(u154, p166):(u154, p181, 942)
(u154, p181):(u154, p376, 943)
(u154, p13):(u154, p376, 944)
(u154, p168):(u154, p376, 945)
(u154, p42):(u154, p376, 946)
(u154, p104):(u154, p376, 947)
(u154, p43):(u154, p376, 948)
(u154, p46):(u154, p376, 949)
(u154, p110):(u154, p376, 950)
(u154, p165):(u154, p376, 951)
(u154, p19):(u154, p376, 952)
(u154, p107):(u154, p376, 953)
(u154, p51):(u154, p376, 954)
(u154, p175):(u154, p376, 955)
(u154, p52):(u154, p376, 956)
(u154, p109):(u154, p376, 957)
(u154, p18):(u154, p16, 958)
(u1106, p278):(u157, p278, 959)
(u1106, p30):(u157, p30, 960)
(u809, p287):(u158, p381, 961)
(u158, p286):(u158, p381, 962)
(u809, p381):(u158, p381, 963)
(u809, p286):(u158, p381, 964)
(u158, p287):(u158, p381, 965)
(u809, p191):(u158, p191, 966)
(u330, p183):(u160, p183, 967)
(u1011, p183):(u160, p183, 968)
(u46, p183):(u160, p183, 969)
(u330, p184):(u160, p184, 970)
(u46, p184):(u160, p184, 971)
(u1011, p184):(u160, p184, 972)
(u294, p184):(u160, p184, 973)
(u862, p271):(u162, p271, 974)
(u864, p271):(u162, p271, 975)
(u864, p87):(u162, p87, 976)
(u862, p87):(u162, p87, 977)
(u1129, p383):(u163, p383, 978)
(u1129, p382):(u163, p383, 979)
(u745, p383):(u163, p383, 980)
(u745, p382):(u163, p383, 981)
(u263, p383):(u163, p383, 982)
(u263, p382):(u163, p383, 983)
(u163, p382):(u163, p383, 984)
(u163, p383):(-1, -1, 985)
(u351, p385):(u164, p384, 986)
(u164, p385):(u164, p384, 987)
(u351, p384):(u164, p384, 988)
(u164, p384):(-1, -1, 989)
(u165, p43):(u165, p390, 990)
(u165, p52):(u165, p390, 991)
(u165, p49):(u165, p390, 992)
(u165, p104):(u165, p295, 993)
(u165, p166):(u165, p386, 994)
(u165, p51):(u165, p386, 995)
(u165, p295):(u165, p386, 996)
(u165, p13):(u165, p386, 997)
(u165, p168):(u165, p386, 998)
(u165, p42):(u165, p386, 999)
(u165, p45):(u165, p386, 1000)
(u165, p107):(u165, p392, 1001)
(u165, p108):(u165, p392, 1002)
(u165, p162):(u165, p392, 1003)
(u165, p175):(u165, p392, 1004)
(u165, p164):(u165, p392, 1005)
(u165, p54):(u165, p392, 1006)
(u165, p46):(u165, p392, 1007)
(u165, p110):(u165, p392, 1008)
(u165, p163):(u165, p392, 1009)
(u165, p19):(u165, p392, 1010)
(u165, p178):(u165, p169, 1011)
(u165, p301):(u165, p391, 1012)
(u165, p147):(u165, p391, 1013)
(u431, p281):(u166, p282, 1014)
(u166, p281):(u166, p282, 1015)
(u90, p282):(u166, p282, 1016)
(u431, p282):(u166, p282, 1017)
(u166, p282):(-1, -1, 1018)
(u342, p394):(u167, p394, 1019)
(u342, p226):(u167, p226, 1020)
(u632, p231):(u173, p235, 1021)
(u324, p231):(u173, p235, 1022)
(u331, p235):(u173, p235, 1023)
(u173, p231):(u173, p235, 1024)
(u331, p231):(u173, p235, 1025)
(u632, p235):(u173, p235, 1026)
(u324, p235):(u173, p235, 1027)
(u173, p235):(-1, -1, 1028)
(u757, p183):(u175, p183, 1029)
(u654, p183):(u175, p183, 1030)
(u979, p183):(u175, p183, 1031)
(u993, p183):(u175, p183, 1032)
(u1011, p25):(u175, p25, 1033)
(u46, p25):(u175, p25, 1034)
(u757, p25):(u175, p25, 1035)
(u654, p25):(u175, p25, 1036)
(u330, p25):(u175, p25, 1037)
(u979, p25):(u175, p25, 1038)
(u765, p398):(u176, p398, 1039)
(u176, p399):(u176, p398, 1040)
(u765, p399):(u176, p398, 1041)
(u176, p398):(-1, -1, 1042)
(u991, p336):(u178, p336, 1043)
(u991, p227):(u178, p227, 1044)
(u181, p326):(u181, p327, 1045)
(u181, p327):(u181, p400, 1046)
(u1177, p401):(u182, p401, 1047)
(u885, p401):(u182, p401, 1048)
(u1045, p401):(u182, p401, 1049)
(u182, p401):(-1, -1, 1050)
(u1143, p296):(u186, p296, 1051)
(u186, p166):(u186, p296, 1052)
(u1143, p166):(u186, p296, 1053)
(u1143, p19):(u186, p19, 1054)
(u1143, p104):(u186, p104, 1055)
(u540, p23):(u189, p23, 1056)
(u1114, p23):(u189, p23, 1057)
(u911, p23):(u189, p23, 1058)
(u940, p23):(u189, p23, 1059)
(u5, p23):(u189, p23, 1060)
(u540, p22):(u189, p22, 1061)
(u940, p22):(u189, p22, 1062)
(u5, p22):(u189, p22, 1063)
(u1114, p22):(u189, p22, 1064)
(u911, p22):(u189, p22, 1065)
(u190, p403):(u190, p404, 1066)
(u190, p405):(u190, p404, 1067)
(u261, p407):(u191, p407, 1068)
(u192, p319):(u192, p320, 1069)
(u1016, p408):(u194, p408, 1070)
(u1016, p352):(u194, p352, 1071)
(u1108, p410):(u195, p409, 1072)
(u195, p410):(u195, p409, 1073)
(u1108, p409):(u195, p409, 1074)
(u195, p409):(-1, -1, 1075)
(u294, p241):(u199, p241, 1076)
(u861, p241):(u199, p241, 1077)
(u394, p241):(u199, p241, 1078)
(u757, p241):(u199, p241, 1079)
(u578, p241):(u199, p241, 1080)
(u881, p241):(u199, p241, 1081)
(u861, p25):(u199, p25, 1082)
(u578, p25):(u199, p25, 1083)
(u881, p25):(u199, p25, 1084)
(u394, p25):(u199, p25, 1085)
(u200, p18):(u200, p14, 1086)
(u445, p84):(u205, p84, 1087)
(u445, p287):(u205, p287, 1088)
(u273, p415):(u206, p415, 1089)
(u273, p73):(u206, p73, 1090)
(u207, p333):(u207, p416, 1091)
(u207, p415):(u207, p416, 1092)
(u207, p417):(u207, p416, 1093)
(u38, p115):(u210, p115, 1094)
(u1023, p115):(u210, p115, 1095)
(u29, p115):(u210, p115, 1096)
(u350, p116):(u210, p115, 1097)
(u210, p116):(u210, p115, 1098)
(u350, p115):(u210, p115, 1099)
(u572, p116):(u210, p115, 1100)
(u717, p116):(u210, p115, 1101)
(u717, p115):(u210, p115, 1102)
(u572, p115):(u210, p115, 1103)
(u704, p116):(u210, p115, 1104)
(u704, p115):(u210, p115, 1105)
(u1036, p116):(u210, p115, 1106)
(u298, p116):(u210, p115, 1107)
(u1036, p115):(u210, p115, 1108)
(u298, p115):(u210, p115, 1109)
(u788, p116):(u210, p115, 1110)
(u788, p115):(u210, p115, 1111)
(u1023, p116):(u210, p115, 1112)
(u29, p114):(u210, p114, 1113)
(u717, p114):(u210, p114, 1114)
(u298, p114):(u210, p114, 1115)
(u788, p114):(u210, p114, 1116)
(u350, p114):(u210, p114, 1117)
(u1023, p114):(u210, p114, 1118)
(u572, p114):(u210, p114, 1119)
(u38, p114):(u210, p114, 1120)
(u1036, p114):(u210, p114, 1121)
(u704, p114):(u210, p114, 1122)
(u792, p156):(u211, p156, 1123)
(u353, p156):(u211, p156, 1124)
(u771, p156):(u211, p156, 1125)
(u1168, p156):(u211, p156, 1126)
(u664, p156):(u211, p156, 1127)
(u417, p156):(u211, p156, 1128)
(u1035, p156):(u211, p156, 1129)
(u679, p156):(u211, p156, 1130)
(u878, p156):(u211, p156, 1131)
(u954, p156):(u211, p156, 1132)
(u375, p156):(u211, p156, 1133)
(u1168, p418):(u211, p418, 1134)
(u417, p418):(u211, p418, 1135)
(u878, p418):(u211, p418, 1136)
(u954, p418):(u211, p418, 1137)
(u1035, p418):(u211, p418, 1138)
(u375, p418):(u211, p418, 1139)
(u664, p418):(u211, p418, 1140)
(u353, p418):(u211, p418, 1141)
(u679, p418):(u211, p418, 1142)
(u771, p418):(u211, p418, 1143)
(u792, p418):(u211, p418, 1144)
(u212, p218):(u212, p419, 1145)
(u212, p421):(u212, p419, 1146)
(u212, p420):(u212, p423, 1147)
(u212, p422):(u212, p423, 1148)
(u212, p289):(u212, p423, 1149)
(u213, p218):(u213, p419, 1150)
(u213, p421):(u213, p419, 1151)
(u213, p104):(u213, p295, 1152)
(u360, p98):(u215, p98, 1153)
(u216, p318):(u216, p112, 1154)
(u641, p318):(u216, p112, 1155)
(u919, p318):(u216, p112, 1156)
(u112, p112):(u216, p112, 1157)
(u919, p112):(u216, p112, 1158)
(u641, p112):(u216, p112, 1159)
(u216, p112):(-1, -1, 1160)
(u218, p137):(u218, p138, 1161)
(u962, p72):(u220, p72, 1162)
(u941, p72):(u220, p72, 1163)
(u222, p43):(u222, p431, 1164)
(u222, p46):(u222, p431, 1165)
(u222, p110):(u222, p431, 1166)
(u222, p107):(u222, p431, 1167)
(u222, p295):(u222, p431, 1168)
(u222, p54):(u222, p431, 1169)
(u222, p13):(u222, p431, 1170)
(u222, p42):(u222, p431, 1171)
(u222, p104):(u222, p431, 1172)
(u222, p41):(u222, p430, 1173)
(u222, p434):(u222, p430, 1174)
(u222, p210):(u222, p211, 1175)
(u941, p272):(u223, p272, 1176)
(u941, p35):(u223, p35, 1177)
(u60, p207):(u226, p207, 1178)
(u609, p207):(u226, p207, 1179)
(u60, p204):(u226, p204, 1180)
(u609, p204):(u226, p204, 1181)
(u926, p172):(u227, p172, 1182)
(u926, p87):(u227, p87, 1183)
(u386, p223):(u228, p222, 1184)
(u228, p223):(u228, p222, 1185)
(u386, p222):(u228, p222, 1186)
(u228, p222):(-1, -1, 1187)
(u230, p166):(u230, p181, 1188)
(u230, p105):(u230, p439, 1189)
(u230, p47):(u230, p439, 1190)
(u230, p43):(u230, p439, 1191)
(u230, p46):(u230, p439, 1192)
(u230, p433):(u230, p439, 1193)
(u230, p49):(u230, p439, 1194)
(u230, p41):(u230, p439, 1195)
(u230, p42):(u230, p439, 1196)
(u230, p54):(u230, p439, 1197)
(u230, p292):(u230, p439, 1198)
(u230, p45):(u230, p439, 1199)
(u230, p107):(u230, p439, 1200)
(u230, p180):(u230, p441, 1201)
(u230, p168):(u230, p441, 1202)
(u230, p164):(u230, p441, 1203)
(u230, p438):(u230, p441, 1204)
(u230, p440):(u230, p441, 1205)
(u230, p104):(u230, p441, 1206)
(u230, p103):(u230, p441, 1207)
(u230, p110):(u230, p441, 1208)
(u230, p163):(u230, p441, 1209)
(u230, p19):(u230, p441, 1210)
(u230, p162):(u230, p441, 1211)
(u230, p52):(u230, p441, 1212)
(u230, p178):(u230, p169, 1213)
(u230, p229):(u230, p236, 1214)
(u759, p443):(u234, p443, 1215)
(u234, p443):(-1, -1, 1216)
(u236, p221):(u236, p365, 1217)
(u236, p233):(u236, p228, 1218)
(u1115, p137):(u237, p137, 1219)
(u474, p137):(u237, p137, 1220)
(u891, p137):(u237, p137, 1221)
(u354, p137):(u237, p137, 1222)
(u354, p138):(u237, p138, 1223)
(u891, p138):(u237, p138, 1224)
(u218, p138):(u237, p138, 1225)
(u37, p138):(u237, p138, 1226)
(u237, p137):(u237, p138, 1227)
(u474, p138):(u237, p138, 1228)
(u1115, p138):(u237, p138, 1229)
(u237, p138):(-1, -1, 1230)
(u736, p349):(u239, p349, 1231)
(u542, p349):(u239, p349, 1232)
(u135, p349):(u239, p349, 1233)
(u1054, p349):(u239, p349, 1234)
(u1140, p349):(u239, p349, 1235)
(u1140, p50):(u239, p50, 1236)
(u736, p50):(u239, p50, 1237)
(u542, p50):(u239, p50, 1238)
(u876, p403):(u241, p405, 1239)
(u876, p405):(u241, p405, 1240)
(u700, p403):(u241, p405, 1241)
(u876, p404):(u241, p405, 1242)
(u190, p404):(u241, p405, 1243)
(u700, p405):(u241, p405, 1244)
(u575, p403):(u241, p405, 1245)
(u241, p403):(u241, p405, 1246)
(u700, p404):(u241, p405, 1247)
(u575, p405):(u241, p405, 1248)
(u575, p404):(u241, p405, 1249)
(u460, p403):(u241, p405, 1250)
(u241, p404):(u241, p405, 1251)
(u306, p403):(u241, p405, 1252)
(u460, p405):(u241, p405, 1253)
(u514, p403):(u241, p405, 1254)
(u460, p404):(u241, p405, 1255)
(u306, p405):(u241, p405, 1256)
(u514, p405):(u241, p405, 1257)
(u306, p404):(u241, p405, 1258)
(u514, p404):(u241, p405, 1259)
(u241, p405):(-1, -1, 1260)
(u312, p337):(u242, p337, 1261)
(u125, p337):(u242, p337, 1262)
(u219, p337):(u242, p337, 1263)
(u714, p337):(u242, p337, 1264)
(u1162, p337):(u242, p337, 1265)
(u1142, p337):(u242, p337, 1266)
(u312, p338):(u242, p338, 1267)
(u125, p338):(u242, p338, 1268)
(u219, p338):(u242, p338, 1269)
(u1162, p338):(u242, p338, 1270)
(u1142, p338):(u242, p338, 1271)
(u714, p338):(u242, p338, 1272)
(u606, p255):(u244, p255, 1273)
(u606, p155):(u244, p155, 1274)
(u945, p255):(u245, p255, 1275)
(u945, p55):(u245, p55, 1276)
(u1003, p303):(u247, p303, 1277)
(u294, p303):(u247, p303, 1278)
(u825, p303):(u247, p303, 1279)
(u784, p303):(u247, p303, 1280)
(u579, p303):(u247, p303, 1281)
(u977, p303):(u247, p303, 1282)
(u899, p303):(u247, p303, 1283)
(u1133, p303):(u247, p303, 1284)
(u1091, p303):(u247, p303, 1285)
(u417, p371):(u248, p371, 1286)
(u509, p371):(u248, p371, 1287)
(u509, p156):(u248, p156, 1288)
(u483, p411):(u250, p411, 1289)
(u483, p121):(u250, p121, 1290)
(u1141, p102):(u251, p102, 1291)
(u1141, p201):(u251, p201, 1292)
(u1141, p30):(u251, p30, 1293)
(u1130, p449):(u253, p449, 1294)
(u253, p448):(u253, p449, 1295)
(u1130, p448):(u253, p449, 1296)
(u253, p449):(-1, -1, 1297)
(u865, p237):(u254, p237, 1298)
(u363, p450):(u255, p450, 1299)
(u730, p450):(u255, p450, 1300)
(u1079, p450):(u255, p450, 1301)
(u255, p450):(-1, -1, 1302)
(u262, p87):(u256, p87, 1303)
(u262, p105):(u256, p105, 1304)
(u257, p278):(u257, p452, 1305)
(u257, p132):(u257, p452, 1306)
(u257, p453):(u257, p452, 1307)
(u257, p451):(u257, p452, 1308)
(u679, p144):(u258, p144, 1309)
(u679, p366):(u258, p366, 1310)
(u91, p28):(u260, p28, 1311)
(u653, p28):(u260, p28, 1312)
(u91, p95):(u260, p95, 1313)
(u653, p95):(u260, p95, 1314)
(u914, p369):(u261, p454, 1315)
(u914, p454):(u261, p454, 1316)
(u261, p454):(-1, -1, 1317)
(u879, p342):(u266, p342, 1318)
(u522, p342):(u266, p342, 1319)
(u737, p342):(u266, p342, 1320)
(u815, p342):(u266, p342, 1321)
(u272, p265):(u272, p457, 1322)
(u272, p314):(u272, p457, 1323)
(u272, p50):(u272, p457, 1324)
(u847, p81):(u274, p81, 1325)
(u442, p81):(u274, p81, 1326)
(u651, p81):(u274, p81, 1327)
(u633, p81):(u274, p81, 1328)
(u111, p81):(u274, p81, 1329)
(u15, p50):(u276, p50, 1330)
(u473, p50):(u276, p50, 1331)
(u123, p50):(u276, p50, 1332)
(u280, p50):(u276, p50, 1333)
(u616, p50):(u276, p50, 1334)
(u645, p50):(u276, p50, 1335)
(u961, p50):(u276, p50, 1336)
(u280, p68):(u276, p68, 1337)
(u272, p68):(u276, p68, 1338)
(u616, p68):(u276, p68, 1339)
(u505, p68):(u276, p68, 1340)
(u645, p68):(u276, p68, 1341)
(u961, p68):(u276, p68, 1342)
(u15, p68):(u276, p68, 1343)
(u473, p68):(u276, p68, 1344)
(u123, p68):(u276, p68, 1345)
(u932, p461):(u279, p461, 1346)
(u932, p414):(u279, p414, 1347)
(u281, p43):(u281, p126, 1348)
(u281, p46):(u281, p126, 1349)
(u281, p104):(u281, p126, 1350)
(u281, p54):(u281, p126, 1351)
(u281, p166):(u281, p181, 1352)
(u281, p163):(u281, p392, 1353)
(u281, p19):(u281, p392, 1354)
(u281, p45):(u281, p392, 1355)
(u281, p107):(u281, p392, 1356)
(u281, p108):(u281, p392, 1357)
(u281, p175):(u281, p392, 1358)
(u281, p162):(u281, p392, 1359)
(u281, p49):(u281, p392, 1360)
(u281, p164):(u281, p392, 1361)
(u281, p168):(u281, p392, 1362)
(u281, p42):(u281, p392, 1363)
(u281, p110):(u281, p392, 1364)
(u281, p74):(u281, p468, 1365)
(u281, p47):(u281, p180, 1366)
(u281, p180):(u281, p438, 1367)
(u281, p103):(u281, p438, 1368)
(u281, p62):(u281, p67, 1369)
(u392, p238):(u282, p238, 1370)
(u916, p472):(u283, p471, 1371)
(u283, p473):(u283, p471, 1372)
(u916, p471):(u283, p471, 1373)
(u916, p473):(u283, p471, 1374)
(u283, p472):(u283, p471, 1375)
(u916, p134):(u283, p134, 1376)
(u852, p395):(u287, p395, 1377)
(u1050, p395):(u287, p395, 1378)
(u450, p395):(u287, p395, 1379)
(u171, p395):(u287, p395, 1380)
(u634, p395):(u287, p395, 1381)
(u1019, p395):(u287, p395, 1382)
(u1104, p395):(u287, p395, 1383)
(u634, p22):(u287, p22, 1384)
(u1019, p22):(u287, p22, 1385)
(u450, p22):(u287, p22, 1386)
(u1104, p22):(u287, p22, 1387)
(u171, p22):(u287, p22, 1388)
(u852, p22):(u287, p22, 1389)
(u1050, p22):(u287, p22, 1390)
(u939, p377):(u291, p377, 1391)
(u939, p475):(u291, p475, 1392)
(u291, p377):(u291, p475, 1393)
(u291, p475):(-1, -1, 1394)
(u1027, p476):(u292, p477, 1395)
(u292, p476):(u292, p477, 1396)
(u1027, p477):(u292, p477, 1397)
(u292, p477):(-1, -1, 1398)
(u1133, p152):(u294, p152, 1399)
(u294, p152):(u294, p478, 1400)
(u1133, p478):(u294, p478, 1401)
(u294, p478):(u294, p479, 1402)
(u1133, p479):(u294, p479, 1403)
(u850, p35):(u296, p35, 1404)
(u533, p480):(u297, p480, 1405)
(u297, p480):(-1, -1, 1406)
(u135, p354):(u300, p354, 1407)
(u1185, p354):(u300, p354, 1408)
(u1185, p351):(u300, p354, 1409)
(u300, p351):(u300, p354, 1410)
(u1135, p354):(u300, p354, 1411)
(u1135, p351):(u300, p354, 1412)
(u300, p354):(-1, -1, 1413)
(u361, p24):(u301, p24, 1414)
(u511, p24):(u301, p24, 1415)
(u361, p481):(u301, p481, 1416)
(u511, p481):(u301, p481, 1417)
(u305, p482):(u305, p483, 1418)
(u778, p482):(u305, p483, 1419)
(u778, p485):(u305, p483, 1420)
(u305, p484):(u305, p483, 1421)
(u778, p484):(u305, p483, 1422)
(u305, p485):(u305, p483, 1423)
(u778, p483):(u305, p483, 1424)
(u305, p483):(-1, -1, 1425)
(u813, p102):(u307, p102, 1426)
(u251, p102):(u307, p102, 1427)
(u501, p102):(u307, p102, 1428)
(u896, p102):(u307, p102, 1429)
(u87, p102):(u307, p102, 1430)
(u348, p102):(u307, p102, 1431)
(u251, p201):(u307, p201, 1432)
(u813, p201):(u307, p201, 1433)
(u896, p201):(u307, p201, 1434)
(u501, p201):(u307, p201, 1435)
(u348, p201):(u307, p201, 1436)
(u87, p201):(u307, p201, 1437)
(u686, p486):(u310, p486, 1438)
(u513, p486):(u310, p486, 1439)
(u310, p486):(-1, -1, 1440)
(u312, p178):(u312, p169, 1441)
(u312, p52):(u312, p40, 1442)
(u312, p43):(u312, p40, 1443)
(u1136, p203):(u314, p203, 1444)
(u1164, p203):(u314, p203, 1445)
(u1164, p238):(u314, p238, 1446)
(u1136, p238):(u314, p238, 1447)
(u515, p261):(u316, p261, 1448)
(u1178, p489):(u316, p489, 1449)
(u493, p489):(u316, p489, 1450)
(u395, p489):(u316, p489, 1451)
(u984, p489):(u316, p489, 1452)
(u364, p489):(u316, p489, 1453)
(u515, p489):(u316, p489, 1454)
(u318, p49):(u318, p491, 1455)
(u318, p42):(u318, p491, 1456)
(u318, p45):(u318, p491, 1457)
(u318, p172):(u318, p491, 1458)
(u318, p43):(u318, p52, 1459)
(u318, p51):(u318, p53, 1460)
(u318, p52):(u318, p40, 1461)
(u322, p147):(u322, p302, 1462)
(u323, p17):(u323, p495, 1463)
(u323, p493):(u323, p495, 1464)
(u323, p18):(u323, p495, 1465)
(u323, p13):(u323, p495, 1466)
(u324, p79):(u324, p234, 1467)
(u324, p13):(u324, p234, 1468)
(u324, p234):(u324, p232, 1469)
(u324, p232):(u324, p497, 1470)
(u324, p17):(u324, p230, 1471)
(u331, p77):(u331, p501, 1472)
(u331, p79):(u331, p234, 1473)
(u331, p13):(u331, p234, 1474)
(u331, p61):(u331, p502, 1475)
(u331, p500):(u331, p502, 1476)
(u331, p66):(u331, p502, 1477)
(u331, p234):(u331, p232, 1478)
(u331, p497):(u331, p232, 1479)
(u331, p57):(u331, p503, 1480)
(u878, p99):(u332, p99, 1481)
(u449, p99):(u332, p99, 1482)
(u449, p428):(u332, p428, 1483)
(u878, p428):(u332, p428, 1484)
(u123, p56):(u336, p56, 1485)
(u123, p141):(u336, p141, 1486)
(u622, p436):(u342, p436, 1487)
(u508, p436):(u342, p436, 1488)
(u414, p436):(u342, p436, 1489)
(u225, p436):(u342, p436, 1490)
(u659, p436):(u342, p436, 1491)
(u682, p436):(u342, p436, 1492)
(u708, p436):(u342, p436, 1493)
(u1110, p436):(u342, p436, 1494)
(u422, p436):(u342, p436, 1495)
(u1010, p436):(u342, p436, 1496)
(u935, p436):(u342, p436, 1497)
(u342, p436):(-1, -1, 1498)
(u343, p270):(u343, p273, 1499)
(u344, p509):(u344, p508, 1500)
(u344, p507):(u344, p508, 1501)
(u458, p508):(u344, p508, 1502)
(u458, p509):(u344, p508, 1503)
(u458, p507):(u344, p508, 1504)
(u344, p508):(-1, -1, 1505)
(u345, p512):(u345, p510, 1506)
(u627, p200):(u346, p513, 1507)
(u486, p200):(u346, p513, 1508)
(u486, p513):(u346, p513, 1509)
(u346, p200):(u346, p513, 1510)
(u627, p513):(u346, p513, 1511)
(u432, p200):(u346, p513, 1512)
